age	sex	compositeHourlyWages	yearsEducation
41	Male	42.61	16
34	Female	16.79	12
16	Female	6.2	10
23	Female	7	16
47	Female	17.4	10
18	Female	7	12
31	Female	8.5	12
26	Male	22.66	16
35	Male	10	10
40	Female	18.68	13
43	Male	23.04	13
47	Female	6.7	14
23	Female	9.61	10
20	Female	11.64	14
33	Male	26	18
39	Female	15	12
56	Male	29.95	20
17	Female	6.7	9
26	Male	6.8	15
26	Female	15.3	14
44	Female	8	11
44	Female	10	8
20	Female	6.42	14
43	Male	30.31	17
43	Female	12	10
31	Female	18	12
33	Male	13	12
26	Male	7	12
18	Female	6.65	11
38	Female	17.41	16
35	Female	10.16	15
28	Male	21.66	13
39	Female	9.85	16
44	Female	13.45	10
28	Male	14.53	12
50	Female	17.66	14
38	Female	26.4	15
19	Female	6.42	13
42	Male	24.96	12
52	Male	23.04	12
56	Female	13.92	12
48	Male	13.75	10
46	Female	12.15	13
22	Female	8.37	11
40	Male	21.6	15
29	Male	16.1	13
51	Male	35.09	4
36	Female	28.8	16
37	Female	38.4	17
55	Female	17.33	15
21	Male	7.7	16
40	Male	18.02	10
41	Female	32.03	15
19	Female	6.59	13
32	Male	11.2	16
42	Female	14.8	15
62	Female	14	11
44	Male	23.34	13
51	Male	8.87	14
27	Male	21.67	14
50	Female	14.27	12
34	Female	18.02	14
55	Female	5.92	10
50	Male	12.66	12
43	Female	7.25	0
35	Female	13.75	13
46	Male	10.78	11
40	Male	19	10
51	Female	12	13
36	Male	18.24	20
20	Male	10	9
32	Male	24	14
23	Female	9.79	14
51	Female	30.08	13
55	Male	23.97	12
49	Male	12	16
33	Male	15.75	17
35	Male	9	11
32	Male	14.4	10
61	Male	19	10
27	Female	18.02	17
51	Female	7.5	10
29	Male	11.86	12
23	Male	9.86	14
56	Male	18.39	9
25	Female	6.66	17
36	Female	26.78	17
26	Female	14.09	16
35	Male	24.7	14
61	Male	28.8	16
16	Male	6.85	10
37	Female	27.84	17
28	Female	15.12	15
47	Female	27.67	13
27	Male	16.78	12
39	Male	9.33	9
40	Male	10	10
54	Female	12.86	12
57	Female	14	12
38	Female	9.19	12
38	Female	20.16	12
60	Female	25.95	19
20	Male	7.5	13
54	Male	31.68	17
26	Female	15	16
48	Female	20.53	8
36	Male	17.4	12
48	Male	39.5	20
43	Female	17.99	11
48	Female	13.71	12
27	Female	12.8	10
35	Female	16.97	14
38	Female	21.78	16
28	Female	19.2	19
27	Male	29.24	17
54	Male	13.44	10
39	Male	21.39	16
36	Male	31.1	10
50	Male	40.8	16
25	Female	8.12	18
22	Female	5.98	14
54	Female	12.93	10
25	Male	19.26	8
17	Female	9.46	12
19	Female	5.5	13
50	Male	16.69	15
44	Male	24.17	9
18	Male	7	12
51	Male	21.93	17
32	Male	12.42	17
36	Female	12	10
40	Male	18.24	12
20	Female	6.7	14
60	Male	3.13	20
39	Male	22.47	12
17	Male	6	10
19	Male	12	11
30	Male	14.66	12
26	Male	11.17	11
17	Male	3.83	11
60	Female	11	3
34	Male	14	7
58	Male	10.3	10
21	Female	6.98	15
48	Female	10.34	9
26	Male	23.2	20
35	Female	5.83	12
30	Female	6.7	12
38	Male	13.06	12
38	Male	25	10
38	Female	24.94	16
22	Female	6.92	17
61	Female	24.36	5
29	Female	9.71	17
27	Male	10	9
35	Male	6.7	14
46	Female	10.51	12
37	Female	8	12
53	Male	25.92	20
21	Male	7.53	12
33	Female	9	7
24	Female	7.56	13
47	Male	7	8
27	Male	18.95	17
42	Female	16.38	13
32	Male	29.67	17
35	Male	22.5	18
18	Female	8.01	11
28	Female	9.16	13
39	Male	17.5	13
27	Male	7	18
55	Male	25.03	19
46	Male	10.81	12
45	Female	17.06	10
44	Female	17.59	14
31	Male	17.52	12
23	Male	10.5	7
62	Female	19.25	12
53	Female	8.6	9
44	Male	19.83	9
54	Male	10	8
45	Female	6.7	13
27	Male	6.78	12
38	Male	13	11
31	Female	14.5	13
28	Male	25	16
36	Female	22	18
22	Male	8.23	15
42	Female	8.79	12
38	Male	32.16	12
36	Female	23.26	20
49	Female	5.33	16
50	Male	23.76	14
35	Female	10.92	15
25	Male	23.76	13
27	Male	13.21	9
47	Male	15.1	10
47	Male	27.14	18
44	Male	23.16	17
39	Male	23.07	13
37	Female	10.08	13
30	Male	19.2	19
57	Female	13.49	8
29	Female	15.87	12
35	Female	7.87	2
35	Male	15.56	13
42	Female	8	10
62	Male	23.63	12
59	Male	41.28	20
34	Female	19.72	15
32	Female	8.5	12
50	Female	18.9	16
52	Female	11	11
58	Male	16.39	10
41	Female	14.04	12
39	Male	16	11
37	Female	10.11	15
45	Male	16.78	13
36	Female	11.95	12
29	Female	17.97	16
26	Female	17.21	16
41	Female	14.73	17
65	Male	10.62	8
60	Male	25.03	20
51	Male	30.24	15
42	Female	11.43	13
50	Female	10	9
24	Male	14	12
35	Male	21.73	16
41	Male	27.36	19
34	Female	28.16	15
45	Male	18	9
21	Male	8	18
51	Male	16	13
21	Female	7.92	14
32	Female	15.33	12
26	Male	10	11
23	Female	10.63	17
27	Male	13.1	19
32	Female	7.65	11
26	Male	10.2	11
29	Male	12.5	11
20	Male	6.87	12
50	Female	9.1	3
47	Male	9.89	9
50	Male	11	11
38	Female	15.36	12
21	Female	5.28	15
32	Male	19.2	15
20	Male	8.75	11
21	Female	11.03	14
40	Male	25.44	16
25	Male	7.5	18
40	Female	15.81	10
62	Male	12.11	8
25	Female	9.1	15
22	Female	6.7	12
23	Male	15	15
51	Female	9.33	10
29	Male	8.73	12
61	Female	6.31	11
37	Male	16.58	15
57	Male	11	8
22	Male	6.7	17
28	Female	19.69	18
22	Female	8	15
30	Female	9.94	12
33	Female	10	14
42	Female	13.24	10
44	Female	31.2	17
54	Male	11.09	10
37	Female	10.85	12
45	Female	23.53	16
31	Female	10.28	12
56	Female	15.87	10
42	Male	20.48	13
30	Female	9.72	15
36	Female	14	12
23	Female	8	15
39	Female	21.34	15
38	Male	27.84	12
51	Male	30.72	20
55	Male	22.19	12
32	Male	11	12
17	Female	6.75	11
31	Male	13	11
16	Female	6.12	9
25	Male	18	15
36	Female	17.62	10
37	Female	17.44	8
61	Female	35.11	14
48	Male	40.32	16
39	Male	14.5	10
52	Female	14.13	13
31	Female	7.52	15
35	Female	7.1	13
33	Female	13.41	13
20	Female	6.75	13
31	Female	6.33	14
33	Female	19.05	17
29	Female	15.02	17
23	Male	8.34	13
38	Male	18.92	11
49	Male	20.95	11
38	Female	27.98	17
23	Male	9.38	14
57	Female	36.25	8
18	Female	6.55	12
57	Female	10.93	12
29	Male	13	19
44	Male	28.35	12
27	Female	10.08	13
48	Male	21.33	10
34	Female	17	13
31	Female	21.01	20
35	Male	22.86	10
39	Male	16.8	12
35	Female	12.5	17
38	Male	17.6	17
55	Female	15.45	16
20	Female	9.18	13
26	Male	11.11	12
47	Male	12	12
30	Male	18.78	16
26	Female	10.38	20
44	Female	13	14
41	Male	16.7	16
34	Male	40.43	9
26	Female	9.04	8
22	Female	8.33	19
19	Female	6.79	14
23	Male	6.7	10
20	Male	7.18	11
38	Female	16	12
58	Male	24.7	14
45	Female	10.4	10
47	Female	18	10
39	Female	33.28	15
17	Female	6.7	11
58	Male	25.53	8
29	Male	23.52	17
57	Male	21.6	12
44	Female	17.76	14
27	Male	7.75	14
56	Male	17.76	13
34	Male	13.09	16
51	Male	20.16	1
38	Male	10	17
38	Female	6.7	16
39	Female	16	14
47	Female	14.4	15
30	Female	26.77	16
57	Female	20.95	9
57	Female	6.5	11
30	Male	22.47	14
35	Female	17.72	13
19	Male	11	12
33	Male	8	14
41	Male	29.76	15
42	Female	18.93	12
41	Female	10.08	4
45	Male	18.33	8
37	Male	15.48	16
41	Female	28.8	16
57	Female	14.26	12
62	Male	9.37	11
27	Male	15.77	12
47	Female	12	10
53	Male	22.08	13
16	Female	5	10
43	Male	16.61	16
40	Male	25.02	10
43	Male	20.06	12
47	Male	15.45	10
47	Female	8.3	11
35	Male	18.37	14
27	Female	6.7	11
20	Female	13.53	16
62	Female	6.85	8
60	Female	10.25	9
18	Male	10	12
48	Female	12	14
30	Female	9.55	15
20	Female	6.25	14
18	Female	6.7	13
53	Male	24.77	16
54	Female	28.8	16
40	Male	14.98	12
31	Female	14	14
55	Female	11.77	14
40	Male	12.48	12
25	Male	15	17
31	Male	19	18
46	Female	7.5	15
57	Male	18.74	5
34	Male	27	14
48	Male	13.13	11
22	Male	12	12
64	Male	17.9	9
60	Male	11.5	5
32	Female	13.65	12
52	Male	14.4	11
23	Female	8.06	9
35	Female	10.25	12
21	Male	8.32	12
39	Female	6.41	15
42	Male	10	12
41	Female	17.42	12
47	Male	32.91	18
20	Female	6.7	13
48	Male	24.4	10
42	Male	17.76	15
21	Female	10.44	16
32	Female	15.42	15
34	Female	11.82	16
32	Male	18.43	12
23	Male	13	14
34	Female	20.5	18
21	Male	9	1
59	Female	6.72	12
43	Male	9.52	16
17	Male	3	12
33	Male	15.49	9
32	Female	7	13
32	Male	13.6	12
34	Female	8.71	11
26	Female	12.48	15
57	Female	9.86	9
29	Female	11.52	12
27	Female	11.67	14
24	Female	15.97	11
42	Female	22.02	15
37	Female	12.46	13
49	Female	13.95	12
36	Male	18.92	13
38	Female	14.21	18
40	Male	24	16
27	Female	13.7	18
58	Male	35.7	20
19	Female	7.27	12
51	Female	14.59	13
54	Male	17	11
32	Female	8.31	12
33	Male	18.41	15
27	Female	6.52	17
57	Male	12.65	10
27	Male	11.04	17
25	Female	9.33	12
28	Male	18.29	14
22	Female	6.7	0
56	Female	10.38	12
22	Male	7.84	14
16	Female	6.65	10
58	Male	47.52	20
31	Male	12.54	7
28	Female	8.26	12
32	Male	8.36	10
42	Female	23.04	16
28	Male	11	16
42	Female	12.9	14
29	Male	12.48	15
22	Male	9.79	15
53	Female	19	14
33	Female	10	12
40	Female	27.45	17
34	Male	20.84	17
20	Male	8.57	13
62	Male	27.5	8
47	Female	13.23	8
33	Female	26.48	13
48	Male	20.99	15
29	Female	7.3	8
36	Male	14.13	12
47	Male	9.44	11
38	Female	9.5	11
34	Male	10.56	13
41	Male	22.03	16
40	Male	13	14
37	Male	17	15
54	Male	15	12
30	Male	18.33	18
17	Male	4.25	12
38	Male	18.16	14
23	Female	7.24	12
42	Female	12.07	15
44	Female	26.02	15
54	Female	11.06	11
34	Male	16	12
35	Female	16.64	14
20	Female	21.84	12
62	Male	15.67	7
23	Female	7.66	17
44	Male	19.84	13
30	Male	14.98	12
17	Female	8.65	11
31	Female	7	12
46	Male	25.6	15
46	Male	21.94	15
41	Male	18.11	15
29	Female	6.25	12
36	Female	13.31	13
44	Female	19.2	14
46	Male	16.83	20
16	Male	7	11
43	Male	13.75	16
50	Male	21.8	10
46	Male	23.04	18
23	Male	14.97	15
33	Male	16.73	16
30	Female	10	10
46	Male	30.49	15
17	Female	7	10
41	Female	15.65	16
33	Male	10.14	13
42	Female	10.51	13
48	Male	27.39	17
44	Male	21.12	17
24	Female	22.34	16
39	Female	10.97	14
27	Female	20.16	12
58	Female	39.84	18
45	Female	12.67	12
58	Female	5	11
45	Female	11	11
49	Male	24	17
31	Male	22.4	16
25	Male	18	14
46	Male	14.35	6
21	Male	4.65	14
28	Male	14	14
40	Male	18.27	12
49	Male	16.8	13
34	Female	7.25	9
55	Female	15.84	13
48	Female	19.91	12
27	Female	10.97	13
50	Male	10	8
19	Female	6.35	14
19	Female	6.58	12
55	Male	22.25	10
56	Male	21	8
54	Female	14.4	11
40	Male	26.4	11
36	Male	24	17
49	Male	19.2	10
59	Female	12.5	11
36	Male	31.43	17
19	Male	6.74	13
32	Female	8.32	14
29	Male	8.86	12
21	Male	7.7	14
43	Male	24.44	13
45	Male	19.5	14
31	Male	9.61	17
33	Female	12.03	14
41	Male	30.27	17
52	Male	15	11
21	Female	7.49	15
42	Male	9	12
18	Female	6.7	12
43	Male	12	8
42	Male	9.16	6
29	Female	7.16	11
30	Male	17.08	12
22	Male	7.4	14
33	Female	16.79	10
21	Female	9.02	15
34	Male	17.18	11
42	Male	47.26	17
47	Male	13.97	11
19	Female	7.42	11
49	Female	12.5	10
27	Female	14.37	14
27	Female	10.51	13
26	Male	34.23	18
57	Female	16.25	14
59	Female	14.63	13
35	Female	12.51	14
46	Female	7.13	12
37	Female	17.88	12
20	Female	6.7	13
35	Female	13.95	10
55	Female	18.65	13
45	Female	14.94	11
49	Female	7.08	12
39	Female	16.96	12
57	Female	12.73	9
64	Male	8.5	8
52	Male	16.51	4
39	Female	7	9
28	Male	22.45	13
35	Female	13	12
31	Male	23.04	13
16	Male	7	10
56	Male	20	11
42	Female	29.62	17
29	Female	16.3	16
44	Male	16.59	16
33	Male	10	12
60	Female	21.06	13
63	Female	10.25	12
34	Male	9.38	10
34	Male	26.27	18
25	Female	12.37	13
46	Male	22.38	11
20	Female	7.88	13
39	Female	15.73	15
19	Male	7.08	13
46	Female	28.32	17
36	Male	30.72	20
24	Female	22.17	16
20	Male	6.9	14
41	Female	12.75	10
30	Male	12.21	11
53	Female	7.65	12
25	Female	8.32	18
23	Male	7.12	16
45	Female	12.5	15
52	Male	18.92	19
23	Male	10	18
18	Male	7	13
21	Male	11.5	11
39	Female	17.92	13
37	Female	15.36	12
42	Female	6.7	13
32	Male	14.21	12
51	Male	14.61	10
59	Male	15	3
31	Female	8.57	13
30	Male	13.75	11
59	Female	13.92	12
59	Male	6.7	13
41	Female	20.91	12
43	Male	32.16	12
30	Female	11	14
45	Female	13.71	13
25	Female	17.89	14
26	Male	10.97	16
34	Female	16.47	12
27	Female	15.1	14
35	Male	3.18	20
32	Female	8.21	14
41	Female	14.4	16
39	Female	9.91	15
62	Female	10.81	12
39	Female	13	12
26	Female	8.7	12
41	Male	29.01	14
26	Female	16.96	12
18	Female	7.15	11
63	Female	15.76	16
32	Female	10.26	9
18	Female	7	12
34	Male	25.74	13
46	Female	26.72	18
39	Female	8.64	16
22	Male	10.59	8
30	Female	8.32	11
53	Male	45.12	8
29	Male	9.7	15
56	Female	25.48	13
40	Male	33.6	16
30	Female	17.28	15
44	Female	23.04	20
43	Female	6.7	12
22	Male	6.35	12
48	Male	31.2	18
44	Male	30.7	14
47	Female	12.57	20
63	Male	11.65	8
21	Female	8.23	15
30	Female	18.21	19
38	Male	17.9	9
44	Female	23.48	16
19	Male	8.65	13
17	Female	6.25	11
51	Female	32.34	16
57	Male	22.57	15
39	Male	19	14
24	Female	18	15
17	Male	6.35	12
51	Female	13.44	12
42	Male	15.89	14
30	Male	15.8	6
28	Female	17.76	18
31	Male	11	15
59	Female	16.4	13
24	Female	23.04	12
29	Female	6.71	12
37	Male	18.25	15
46	Male	14.96	12
62	Male	10.5	9
38	Female	13.48	17
44	Male	28.32	14
22	Female	8.04	16
19	Female	6.87	13
20	Male	6.76	12
49	Male	38.4	17
27	Male	22	11
27	Female	18.42	19
38	Female	6.8	12
36	Male	23	12
47	Female	8	10
28	Male	19	13
43	Male	13.57	11
47	Female	18.41	13
28	Female	15	14
46	Male	24	10
42	Male	12.5	11
53	Male	19	14
19	Female	10.5	12
36	Male	21.6	15
44	Female	11.04	13
31	Male	10.4	12
31	Female	17.77	15
44	Male	28	14
16	Female	6.85	10
20	Female	6.65	14
51	Female	25.95	16
46	Male	21.12	14
25	Male	14.72	12
38	Male	7.62	12
32	Female	14.34	14
31	Female	12.5	8
19	Male	10	14
65	Female	8.5	6
32	Male	24.84	9
31	Female	26.33	16
30	Male	15.36	12
54	Female	16.32	13
29	Male	11.5	16
33	Female	14.8	11
36	Male	26.88	10
46	Male	13.25	11
30	Male	16.4	15
21	Male	6.75	12
43	Male	19.64	17
35	Female	7.75	17
16	Female	6.34	3
32	Male	15.77	12
49	Female	15.71	15
48	Male	19	10
24	Female	11.07	15
32	Male	18.33	13
45	Female	6.25	17
16	Male	6.5	9
59	Male	14.4	10
45	Female	19.5	16
33	Male	17.84	14
44	Male	17.76	12
26	Male	15	17
40	Female	7.1	12
54	Male	21	14
34	Female	25.6	17
32	Male	8	10
48	Male	20	13
37	Male	39.21	12
40	Female	8	14
31	Male	22.02	14
34	Male	16.25	14
18	Female	6.74	12
28	Male	13.9	17
33	Female	19.65	12
58	Female	12.8	14
34	Male	26.24	12
35	Female	28.79	14
38	Female	15.53	12
41	Male	13.64	12
17	Male	6.5	12
61	Male	26	11
27	Male	13.18	18
51	Female	16	14
45	Male	33.36	13
35	Female	10.93	13
58	Male	26.37	9
26	Female	11.43	10
57	Male	18.92	10
24	Female	7.66	15
51	Male	23.05	10
32	Female	7.5	12
26	Female	13	15
40	Female	27	20
60	Male	29.87	20
35	Female	10.71	15
59	Female	6.7	16
20	Female	6.85	15
31	Male	25.79	11
34	Male	5.87	11
21	Male	6.9	15
16	Male	5	10
35	Female	7.23	11
26	Male	21.95	18
36	Male	16.57	12
26	Female	13	20
34	Female	16.15	17
22	Female	6.7	10
38	Male	16	9
54	Male	15	13
32	Female	14.03	14
18	Female	6.75	12
38	Male	26.76	13
20	Female	8.9	12
34	Male	26.88	12
20	Female	5.7	15
59	Male	46.42	18
47	Female	7.58	12
37	Female	13.99	12
48	Female	14.85	12
23	Male	7	14
37	Female	3.84	13
42	Female	17.16	13
56	Female	20.5	17
17	Male	6.75	12
26	Female	9.2	13
44	Male	17.25	7
21	Female	6.96	12
39	Male	23.32	17
23	Female	11.52	4
35	Female	24.69	12
19	Male	6.7	13
24	Female	18.5	15
22	Male	9.61	15
56	Male	16.32	9
54	Female	13.92	12
41	Male	7	20
21	Female	6.8	13
32	Male	16.69	12
47	Female	9.25	10
55	Male	39.84	19
20	Female	42.45	13
37	Male	29.76	12
42	Female	16.9	14
39	Female	8	13
50	Female	8.32	19
37	Male	13.42	15
20	Female	9.22	12
34	Female	12.8	12
37	Female	7.75	12
33	Male	25.92	13
37	Male	20.76	16
30	Female	12.09	19
34	Female	18.24	10
40	Female	11.26	12
27	Female	11.89	17
20	Male	7.5	12
21	Female	7.24	11
24	Female	9.83	17
34	Female	12.69	10
54	Male	11.64	20
29	Female	16.28	14
17	Male	7	11
41	Female	8.5	10
34	Female	12.45	14
25	Male	16.54	19
23	Male	13.73	12
59	Female	7.54	12
37	Female	11	13
32	Female	15.16	15
32	Female	13.13	13
26	Male	20.3	18
45	Female	10.7	11
49	Male	19.47	11
44	Male	35.66	19
54	Male	14.13	8
48	Female	19.05	12
57	Male	23.97	13
42	Male	26.78	15
33	Male	24	14
59	Female	7.5	13
46	Female	14.28	13
51	Male	16.5	13
40	Male	10	13
18	Female	7	12
31	Female	22.07	19
48	Male	28	10
22	Female	6.5	12
36	Female	27.5	12
31	Female	18.76	18
20	Male	7.83	13
41	Female	10.03	12
45	Female	23.97	14
38	Male	22.08	20
32	Female	24	17
40	Female	14.21	14
21	Male	7.45	12
36	Male	34.91	17
30	Male	48	18
21	Female	6.7	16
53	Male	23.84	13
34	Male	19.2	12
39	Male	14.4	8
30	Male	6.97	12
51	Female	7.75	9
51	Male	35.12	12
18	Female	6.78	12
25	Female	20.19	16
34	Female	20.3	17
22	Male	6.72	10
23	Female	6.7	13
27	Male	23.45	17
44	Male	34.56	18
35	Female	23.56	13
63	Male	18.46	16
53	Male	14.03	14
51	Female	27.97	17
35	Female	23.2	20
36	Female	16.8	16
18	Female	6.7	12
18	Female	6.25	12
21	Female	6.75	15
18	Male	6.75	12
16	Female	8.33	11
44	Female	18.32	17
24	Male	8.7	12
48	Male	20	12
37	Male	14.5	13
29	Female	12.07	12
30	Male	19.1	16
29	Female	10.83	12
34	Female	10	17
45	Female	14.41	12
21	Male	10	12
53	Male	21.5	7
43	Male	28.8	10
31	Male	13.99	18
38	Female	29.27	11
56	Male	26.88	20
29	Female	14	14
19	Female	6.35	13
32	Female	17.92	17
48	Female	14.64	9
26	Female	12.27	11
22	Female	7.75	12
40	Male	11.6	12
52	Female	11.18	14
48	Female	12.88	12
24	Female	13.95	14
32	Male	21.28	12
43	Female	7.03	10
41	Female	18.32	13
41	Male	19.8	17
25	Female	10.53	19
24	Female	7.99	16
51	Female	14	15
20	Female	8.01	14
39	Male	16.16	10
38	Male	14	12
25	Male	12.17	13
39	Female	21.13	15
52	Male	22.08	12
25	Female	8.26	13
33	Female	10.55	12
44	Male	15	10
24	Male	8.3	15
37	Female	10.11	12
34	Male	24.48	18
21	Female	7.62	13
48	Female	26.4	17
30	Female	7.51	15
35	Female	17.76	14
48	Male	29.57	18
31	Female	22.11	17
37	Male	17.94	10
50	Male	7.25	15
48	Female	7.55	10
50	Female	29.28	18
31	Male	13.52	12
35	Male	26.97	11
23	Male	13.92	16
59	Female	27.43	14
44	Female	16	12
38	Male	9.62	18
49	Male	13	13
27	Male	13.2	13
37	Male	31.2	18
28	Female	16.46	12
20	Male	7.74	12
39	Male	21.6	12
55	Female	6.7	10
35	Female	12.82	12
36	Female	7.36	14
51	Female	6.65	12
53	Female	16	17
53	Male	18.94	9
35	Female	31.23	17
56	Male	16.78	13
31	Male	14.25	11
49	Male	18.92	17
25	Female	7.23	15
49	Female	12	12
36	Female	24	16
47	Female	26.4	14
36	Male	11.43	9
38	Female	34.56	19
21	Male	9.06	13
38	Female	16.93	17
32	Male	11.25	12
65	Male	42	17
18	Female	8.06	13
53	Male	17	15
57	Female	30.66	7
31	Female	8.79	8
42	Male	34.8	16
47	Female	7.85	9
32	Female	19.68	11
29	Female	17	16
39	Female	15.59	12
52	Male	20.48	5
40	Female	6.76	12
18	Female	6.83	12
34	Male	16.42	15
48	Female	26.4	15
25	Female	27.12	15
55	Female	27.74	12
40	Female	14.83	12
34	Male	18.58	16
50	Male	13.8	9
53	Male	12.82	1
18	Female	7.72	13
32	Female	24.37	19
36	Female	19	13
58	Female	10.58	9
37	Male	10	13
46	Female	7.51	8
28	Male	16.82	12
46	Female	9.42	1
29	Female	6.08	12
18	Male	7	11
20	Male	8.65	13
53	Female	16.18	12
31	Female	12.5	12
47	Male	24.69	12
38	Female	19.2	12
28	Male	22.9	11
37	Male	14.35	12
51	Male	43.2	20
47	Male	23.75	14
51	Male	17.57	14
19	Female	7.93	13
48	Female	19.75	14
56	Male	8.36	6
32	Female	18	16
25	Female	20	15
24	Female	7.15	15
62	Male	30.88	12
38	Male	19.11	13
27	Female	17.21	18
29	Female	10.2	13
39	Male	32.64	16
43	Male	23.04	14
58	Female	19.25	10
34	Male	13.75	15
23	Female	7	12
59	Male	23.3	10
46	Male	18	8
39	Male	17.3	12
45	Male	18.57	15
41	Female	13.18	11
16	Female	6.7	10
55	Male	45.5	8
37	Male	18.33	20
41	Male	20.16	13
31	Female	14.26	12
28	Male	6.31	11
27	Female	5.8	8
35	Male	13.44	13
41	Male	14.29	15
20	Female	7	14
30	Female	6.5	15
40	Male	36.94	10
51	Female	24	10
40	Female	14.85	12
31	Male	13.73	12
40	Male	17.23	12
32	Male	29.15	17
43	Female	13.5	19
45	Male	17.5	14
17	Female	6.75	11
39	Male	19.68	12
27	Male	16	9
34	Female	14	17
52	Male	23.98	12
51	Male	19.37	10
38	Female	10.85	13
18	Male	6.5	12
32	Female	27	17
16	Male	7.18	11
42	Male	17.9	14
39	Male	25.44	12
33	Male	8	9
30	Male	19.2	12
58	Male	17.22	11
19	Female	6.4	14
52	Male	14.3	9
24	Male	8.22	9
28	Male	18.24	10
29	Female	6.7	14
56	Male	17.76	6
43	Male	22.93	16
45	Female	23.59	19
44	Female	14.08	13
29	Male	10.22	12
53	Male	24	12
46	Male	18.24	13
28	Male	7	10
30	Male	12	14
36	Female	21.12	12
50	Male	37.44	10
44	Male	14.88	8
31	Male	20.4	13
44	Female	15.36	18
28	Male	9.75	13
22	Female	6.6	16
19	Female	6.7	12
45	Male	24.43	17
41	Female	16.94	12
52	Male	29.16	14
48	Female	13.59	13
35	Male	17.86	13
52	Female	24.65	13
27	Female	11.01	12
36	Female	23.84	12
32	Female	12.16	12
48	Female	10.08	16
47	Female	14.71	10
46	Female	10.95	15
31	Male	7.5	12
29	Female	10.24	14
55	Female	18.24	16
28	Female	7	12
29	Female	6.8	16
24	Male	6.4	13
27	Male	23	17
20	Female	6.48	12
48	Female	7.2	11
24	Female	15.88	15
24	Female	15.53	12
60	Female	8.6	16
17	Male	6.7	12
62	Female	25	13
44	Female	15.06	13
29	Female	14.37	12
24	Male	7.6	13
59	Male	4.94	13
40	Male	14	11
28	Male	19.2	18
41	Male	21.03	11
50	Female	22.56	20
44	Male	21.49	12
29	Female	21.72	16
35	Male	10.2	18
32	Male	21.45	12
27	Male	18.68	15
44	Female	11.64	18
39	Female	15.36	10
35	Male	12.15	14
35	Female	5	15
37	Female	22	17
63	Male	10.5	8
55	Male	13.73	10
28	Female	8.5	13
62	Male	28.86	10
23	Male	10.41	17
34	Female	19.08	14
24	Female	9.74	16
61	Female	6.7	10
48	Female	19	15
44	Male	31.19	15
23	Male	14.81	13
40	Male	8.81	14
31	Female	18.24	15
40	Male	20.83	11
39	Male	20.16	12
27	Male	14	10
36	Female	18.94	13
16	Male	6.45	10
27	Female	11.67	12
29	Male	10.83	18
65	Male	21.25	8
42	Male	8.92	12
32	Female	11.06	12
60	Male	14.4	12
33	Male	17.28	18
27	Female	12.85	14
28	Male	29.84	14
37	Female	19.2	12
43	Female	8.4	13
59	Male	14.03	20
36	Female	23.04	20
28	Male	15.36	14
24	Female	12.72	16
53	Male	32.64	9
44	Female	31.15	14
30	Male	15.57	13
54	Female	17.85	12
36	Male	14.25	12
38	Male	15	13
32	Female	15.31	15
49	Female	12	12
40	Male	13.96	13
53	Male	15	4
32	Male	30.59	14
29	Female	18.33	14
60	Male	11.25	12
18	Female	7	12
37	Male	3.26	11
42	Male	15	10
33	Male	19	14
51	Male	29.76	9
18	Female	6.74	11
22	Female	8	12
33	Male	12.67	12
27	Female	13.77	13
39	Male	14.46	13
33	Male	12	13
50	Male	29.44	16
32	Female	23.79	17
54	Female	9	10
46	Male	24	15
31	Female	8.57	12
53	Female	7.25	12
44	Female	6.25	9
42	Male	12	8
37	Female	28.83	14
38	Male	19.02	12
29	Female	14	12
40	Female	17	12
22	Male	8.7	16
28	Male	18.22	6
47	Female	16.84	15
20	Male	6.95	14
49	Female	9.73	14
41	Female	18.25	12
43	Male	23.14	13
24	Female	12.4	16
32	Female	7.47	10
32	Male	3.84	13
36	Female	8.5	12
24	Male	7.62	15
22	Male	11.65	13
42	Male	18.65	17
37	Male	38.4	19
28	Female	22	16
42	Female	17	10
41	Female	25.79	19
42	Female	16	9
30	Male	16.3	16
43	Male	15.36	14
32	Female	15	15
57	Male	23	6
34	Male	14.29	18
34	Female	21.75	13
27	Male	9	8
37	Male	17	12
20	Female	11.94	11
37	Female	11.4	8
31	Male	22.56	12
35	Male	28.67	19
53	Female	16.66	11
20	Female	6.7	14
49	Male	19.28	10
43	Female	12.07	13
52	Female	25.6	16
30	Female	27.14	18
47	Female	22.22	15
51	Male	29.76	12
41	Male	30.38	12
61	Female	12	12
42	Male	27.36	17
37	Male	4.58	12
53	Male	33.6	11
33	Male	13	10
25	Male	12.61	12
43	Male	12.55	10
33	Female	13.28	12
34	Female	21.98	20
49	Female	19.83	13
32	Female	6	17
25	Female	12	14
34	Female	14.74	13
37	Female	14.8	13
30	Male	17.8	12
31	Female	7.53	12
36	Male	14.8	11
20	Female	44.25	14
54	Female	24.92	19
20	Female	9	11
40	Female	5.8	12
36	Male	18.63	11
55	Male	21.76	18
21	Female	10	15
54	Male	18.92	11
48	Female	12	12
27	Female	16.93	15
24	Female	12	13
32	Male	18.92	15
19	Female	6.77	14
16	Male	5.48	10
27	Male	19.2	18
20	Female	6.71	14
19	Male	6.7	12
57	Male	27.43	13
46	Male	37.89	17
30	Female	11.68	12
35	Male	31.77	17
21	Female	6.93	13
49	Female	8.5	4
44	Female	10.6	12
59	Male	28.8	12
52	Male	13.07	15
